Text
i’m going to with my popcorn and watch mamdani destroy nyc! he has no humility. he’s never worked a real job in his entire life and he was elected to run the biggest city in america. i will not travel to new york while he is in office. the city will no longer be safe. so sad!
my dad died today. i feel so lost. and sad. heartbroken.
"london. i met a guy and we got chatting about the city. he said, “the biggest lesson london taught me is how to live with loneliness. i come from a small town in italy, loneliness is uncommon there, but here, it’s one of the most common threads that runs through the people. i’ve got used to loneliness now, it no longer hurts. but this numbness is sad. nobody should ‘have’ to be numb to get through life.” i asked the guy if he wanted to grab a coffee later. he said no, he wanted to go home."
"promoat : 💔 .rasel.islam.32 this boy is sitting on one of his knees and there is a broken heart lying in front of him, he is trying to pick it up with one hand, in the other hand he has a bouquet of flowers and in the background a girl is walking with a boy, the background is 50% blood and the boy is sad, 100% matching my face"
"i don’t know korean at all and no one is translating cause everyone is asking if he’s okay (reasonably) but he keeps saying “genchana”and “sorry”!! and he just made us pinky promise to reassure that he is okay, that’s he’s fine. so i think he’s trying to reassure us that he’s okay. to come on and reassure us after you’ve been hurt i’m so sad and so thankful 😭 grateful he’s okay enough to come on and speak to us. sad that he feels he has to and soooo sad that he looks so sad."
did you know? psychologists said that the most depressed person in the family member is not the father nor the mother. it's the eldest daughter.
"you know what? this is absolutely tmi. this is very tmi. but fuck it :3 warning! nsfw.. kinda. when i'm depressed, i get horny, the release is my way of distracting myself. when i'm horny, i think of you. i think of my partner. but what part? their face. they're so fucking pretty. i'm not even horny for sex. i'm just horny cuz i wanna be distracted. their face helps. their beautiful smile, their lovely eyes. i love them. i love . i don't want anyone else for anything at all."
"pernah tak? you busykan diri you untuk hilangkan rasa sedih. but end up, you still sad and depressed. you can't hold it anymore, and finally you cry because it really hurt your feelings💔"
"nobody s you when you're depressed. plain and simple.we can talk all day about mental health and how important it is, but the moment you actually are depressed, people start to distance themselves. they see you as negative,as a burden, as someone too heavy to handle. no one wants to deal with the weight you carry, so they quietly let you sink alone. it's lonely, it's cruel, and it's the coldest reality no one wants to admit, depression doesn't just steal your joy, it steals your company too."
"this is what clinical depression looks . it’s not always crying in the corner or staying in bed all day. sometimes, it’s avoiding friends you used to love hanging out with. it’s losing interest in the hobbies that once made you feel alive. it’s eating more than usual – not because you’re hungry, but because it’s the only thing that feels comforting for a while."
adulting means feeling extra depressed every sunday. period.
"when i was depressed by the behavior of my fellow humans, i used to watch cute animal videos to cheer myself up. now they’re all ai. 😭"
who wants my new snap. need people to talk to i’m extremely depressed.
i'm really drunk i need my mom and dad i'm depressed
hey im lvie (not rl name) im depressed so a girl to stay w me will be ✨ about meh 15 male carin loyal ofc freaky (if comfortable) will understand u good listener alot more xd dm or then we'll talk =]
#trendingreels #sadness #feelings #instadaily #reelslover #viralreels #trendingsongs #insta #sad #trending #depressed #brokenheart #viral #reelsindia #reelsinstagram
feeling depressed. after my facetime call with the grands this afternoon they texted me to ask where christmas eve was going to be this year. i've hosted my families christmas eve gathering for over a decade. that's their entire lives. i couldnt answer the question. 😢
"interesting perspective, and now i feel kind of depressed. great."
i got this email too and it made me super sad and depressed :(
"woke up depressed today - crying and feeling crap. first thing i did was text my daughter to tell her i miss her already (just saw her last night). i've also been thinking about thanksgiving alot lately, and i know it's part of the reason for my sadness. my mom died 17 years ago; right after thanksgiving in 2008. things have never been the same since. i've really been missing her and the times we spent cooking and baking together."
been feeling depressed and quite crappy recently (no particular reason) so thought i’d try and see the beauty in small things - shame i live near an industrial wasteland 🫶🏻
"i don't care what the excuse. i don't want to hear no ""i've been depressed since the snowplow incident and started drinking"" yata yata."
i’m still just… beyond depressed.
i fear it has broken me irreparably. i can’t let love in because i’m afraid violence will find me instead.
